                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.69175,                0.34389,                0.81306,                0.99681,                 0.9791,                0.99443,                0.84289,                0.61549,                0.31692,                0.80716,              0.0007526,              0.0007526,              0.0007526
                    129,                0.68798,                0.34316,                0.80922,                0.99636,                0.98249,                 0.9943,                0.84284,                0.62832,                0.31651,                0.81039,              0.0007427,              0.0007427,              0.0007427
                    130,                0.69434,                0.34472,                0.81154,                 0.9923,                0.98204,                0.99436,                0.84356,                0.61274,                0.31641,                0.80781,              0.0007328,              0.0007328,              0.0007328
                    131,                 0.6866,                0.34316,                0.81264,                0.99501,                0.98413,                0.99467,                0.85102,                0.61295,                0.31517,                0.80843,              0.0007229,              0.0007229,              0.0007229
                    132,                0.69474,                0.34614,                0.81218,                0.99681,                0.98122,                0.99453,                0.84658,                0.59858,                0.30999,                0.80545,               0.000713,               0.000713,               0.000713
                    133,                 0.6727,                0.33884,                0.81116,                0.99726,                0.98041,                0.99449,                0.84771,                0.60168,                0.30934,                0.80524,              0.0007031,              0.0007031,              0.0007031
                    134,                0.67334,                0.33521,                0.81068,                0.99563,                0.98342,                0.99447,                 0.8421,                0.61929,                0.31011,                0.80734,              0.0006932,              0.0006932,              0.0006932
                    135,                0.66358,                0.33308,                 0.8039,                0.99706,                0.98386,                0.99456,                0.84988,                0.59888,                0.30605,                0.80626,              0.0006833,              0.0006833,              0.0006833
                    136,                0.65845,                0.33259,                0.80708,                0.99597,                0.98386,                0.99473,                0.85187,                0.59525,                0.30478,                0.80714,              0.0006734,              0.0006734,              0.0006734
                    137,                0.65163,                0.32991,                0.80627,                0.99729,                0.98252,                0.99478,                 0.8514,                0.58133,                0.30682,                0.80598,              0.0006635,              0.0006635,              0.0006635
                    138,                 0.6715,                0.33537,                0.80915,                0.99276,                0.98314,                  0.994,                0.84832,                0.60723,                0.30557,                0.80884,              0.0006536,              0.0006536,              0.0006536
                    139,                0.67719,                0.33967,                0.81196,                0.99501,                0.98309,                0.99465,                0.85267,                0.59538,                0.30299,                0.80612,              0.0006437,              0.0006437,              0.0006437
                    140,                0.68554,                0.34182,                0.81092,                0.99586,                0.98073,                0.99468,                0.85233,                0.60508,                0.30964,                 0.8081,              0.0006338,              0.0006338,              0.0006338
                    141,                0.65227,                0.32875,                0.80637,                0.99322,                0.98499,                0.99459,                0.85316,                0.58756,                0.30336,                0.80715,              0.0006239,              0.0006239,              0.0006239
                    142,                0.65691,                0.32942,                0.80856,                0.99501,                0.98355,                0.99455,                0.85769,                0.58741,                0.30407,                0.80819,               0.000614,               0.000614,               0.000614
                    143,                0.63899,                0.32387,                0.80536,                0.99592,                0.98404,                0.99468,                0.85955,                0.58602,                0.30102,                0.80638,              0.0006041,              0.0006041,              0.0006041
                    144,                0.65342,                0.33249,                0.81029,                0.99657,                0.98297,                0.99472,                0.85387,                0.58898,                0.30169,                0.80826,              0.0005942,              0.0005942,              0.0005942
                    145,                0.66049,                0.33212,                 0.8063,                0.99727,                 0.9825,                0.99468,                0.84999,                0.58811,                0.30229,                0.80713,              0.0005843,              0.0005843,              0.0005843
                    146,                 0.6806,                0.33591,                0.81293,                0.99538,                0.98342,                0.99449,                 0.8533,                0.58798,                0.30497,                0.80723,              0.0005744,              0.0005744,              0.0005744
                    147,                0.65136,                0.33033,                0.80595,                0.99727,                 0.9825,                0.99472,                0.86034,                0.58896,                0.30222,                0.80729,              0.0005645,              0.0005645,              0.0005645
                    148,                0.64277,                0.32569,                0.80867,                0.99731,                0.98342,                0.99482,                0.85721,                0.58507,                0.30169,                0.80685,              0.0005546,              0.0005546,              0.0005546
                    149,                0.63742,                0.32238,                 0.8066,                0.99497,                0.98252,                0.99437,                0.85506,                0.57817,                0.29595,                0.80579,              0.0005447,              0.0005447,              0.0005447
                    150,                0.64776,                0.32578,                0.80844,                0.99679,                0.98297,                 0.9946,                0.86066,                0.57131,                0.29627,                0.80532,              0.0005348,              0.0005348,              0.0005348
                    151,                0.64635,                0.32362,                0.80736,                0.99773,                0.98433,                0.99484,                0.85649,                0.57454,                0.29504,                0.80411,              0.0005249,              0.0005249,              0.0005249
                    152,                0.64745,                0.32395,                0.81032,                0.99695,                0.98117,                0.99471,                0.86153,                0.57303,                0.29702,                0.80465,               0.000515,               0.000515,               0.000515
                    153,                 0.6519,                0.32604,                0.80619,                0.99681,                0.98127,                0.99468,                0.86396,                0.55799,                0.29244,                0.80456,              0.0005051,              0.0005051,              0.0005051
                    154,                0.61587,                0.31617,                0.80445,                  0.995,                 0.9821,                0.99468,                 0.8605,                0.56791,                0.29272,                0.80509,              0.0004952,              0.0004952,              0.0004952
